timestamp	equity	avail_balance	cash
2018-11-20T04:45:02.398Z	13.47418897	10.78091307	1909.03656746
2018-11-20T05:00:02.333Z	13.72321206	10.78091307	1923.58263445
2018-11-20T05:15:02.347Z	14.07603252	10.78091307	1947.51763137
2018-11-20T05:30:02.454Z	14.3179584	10.78091307	1961.07349021
2018-11-20T05:45:01.347Z	13.82768023	10.78091307	1930.15057258
2018-11-20T06:00:01.494Z	14.08776328	10.78091307	1946.26676042
2018-11-20T06:15:01.412Z	14.37241131	10.78091307	1963.53008835
2018-11-20T06:30:01.394Z	14.5045422	10.78091307	1971.64593487
2018-11-20T06:45:01.403Z	14.95015677	10.78091307	1997.41569526
2018-11-20T07:00:01.486Z	14.80644213	10.78091307	1987.61679153
2018-11-20T07:15:01.797Z	14.92430039	10.78091307	1995.93116126
2018-11-20T07:30:01.499Z	14.94858826	10.78091307	1997.32572318
2018-11-20T07:45:01.752Z	15.22456552	10.78091307	2012.99205305
2018-11-20T08:00:01.576Z	15.39928848	10.78091307	2023.22011766
2018-11-20T08:15:01.695Z	15.68261657	10.78091307	2038.28535822
2018-11-20T08:30:01.623Z	15.97161142	10.78091307	2053.80548411
2018-11-20T08:45:01.689Z	17.77509126	10.78091307	2144.1914836
2018-11-20T09:00:01.867Z	17.18154454	10.78091307	2112.76298745
2018-11-20T09:15:01.909Z	16.73204489	10.78091307	2093.11188756
2018-11-20T09:30:01.765Z	16.52359626	10.78091307	2082.55145463
2018-11-20T09:45:01.765Z	16.82539636	10.78091307	2097.79041816
2018-11-20T10:00:01.752Z	16.81346841	10.78091307	2097.19435518
2018-11-20T10:15:01.731Z	16.46576853	10.78091307	2079.5936338
2018-11-20T10:30:01.744Z	16.57038622	10.78091307	2084.93570536
2018-11-20T10:45:01.820Z	16.16280769	10.78091307	2063.99054201
2018-11-20T11:00:01.806Z	16.33191409	10.78091307	2072.69954908
2018-11-20T11:15:01.854Z	16.6553181	10.78091307	2089.24310246
2018-11-20T11:30:01.879Z	16.4027195	10.78091307	2076.35465063
2018-11-20T11:45:01.865Z	16.5845425	10.78091307	2085.65548026
2018-11-20T12:00:01.848Z	16.93207161	10.78091307	2103.06488639
2018-11-20T12:15:01.911Z	16.49344299	10.78091307	2081.01068893
2018-11-20T12:30:02.024Z	16.58144458	10.78091307	2085.49802916
2018-11-20T12:45:01.985Z	16.38263926	10.78091307	2075.31997618
2018-11-20T13:00:01.994Z	16.61511604	10.78091307	2088.50347111
2018-11-20T13:15:01.961Z	16.56928087	10.78091307	2083.90188574
2018-11-20T13:30:02.058Z	16.65887746	10.78091307	2089.42304654
2018-11-20T13:45:02.007Z	16.68604743	10.78091307	2090.79511507
2018-11-20T14:00:02.042Z	16.69251365	10.78091307	2091.12126248
2018-11-20T14:15:02.058Z	16.41189628	10.78091307	2076.82700286
2018-11-20T14:30:02.103Z	16.37675168	10.78091307	2075.01632161
2018-11-20T14:45:02.139Z	16.1088229	10.78091307	2061.05945476
2018-11-20T15:00:02.176Z	15.5209465	10.78091307	2030.62095154
2018-11-20T15:15:02.177Z	15.38266466	10.78091307	2021.82052959
2018-11-20T15:30:02.168Z	15.165836	10.78091307	2009.74625505
2018-11-20T15:45:02.203Z	14.73816434	10.78091307	1985.15704578
2018-11-20T16:00:02.270Z	13.98312165	10.78091307	1939.82253402
2018-11-20T16:15:02.249Z	14.55884239	10.78091307	1974.6303522
2018-11-20T16:30:02.283Z	14.50624746	10.78091307	1971.51507979
2018-11-20T16:45:02.267Z	14.68329976	10.78091307	1981.93711831
2018-11-20T17:00:02.284Z	14.48598837	10.78091307	1970.31170815
2018-11-20T17:15:01.337Z	14.79151809	10.78091307	1988.26107014
2018-11-20T17:30:01.394Z	15.11927801	10.78091307	2007.05391727
2018-11-20T17:45:01.499Z	15.2869759	10.78091307	2016.47441702
2018-11-20T18:00:01.415Z	15.33513792	10.78091307	2019.17760993
2018-11-20T18:15:01.416Z	15.27370667	10.78091307	2015.74743777
2018-11-20T18:30:01.430Z	15.40354914	10.78091307	2022.97891565
2018-11-20T18:45:01.545Z	15.37861322	10.78091307	2021.59560084
2018-11-20T19:00:01.456Z	15.20136216	10.78091307	2011.68746281
2018-11-20T19:15:01.496Z	15.27109459	10.78091307	2015.60123274
2018-11-20T19:30:01.501Z	15.39847708	10.78091307	2022.6977538
2018-11-20T19:45:01.583Z	15.35513913	10.78091307	2020.29101047
2018-11-20T20:00:01.557Z	15.37355064	10.78091307	2021.31443815
2018-11-20T20:15:01.572Z	15.79058087	10.78091307	2045.22761544
2018-11-20T20:30:01.581Z	17.2735086	10.78091307	2119.40768469
2018-11-20T20:45:01.641Z	17.22386224	10.78091307	2117.41550447
2018-11-20T21:00:01.641Z	16.5542568	10.78091307	2084.11471409
2018-11-20T21:15:01.642Z	16.0180449	10.78091307	2056.2684599
2018-11-20T21:30:01.670Z	16.27444829	10.78091307	2069.76805907
2018-11-20T21:45:01.705Z	16.45567891	10.78091307	2079.07629621
2018-11-20T22:00:01.703Z	16.21442024	10.78091307	2066.59271727
2018-11-20T22:15:01.724Z	16.37805981	10.78091307	2075.08379987
2018-11-20T22:30:02.039Z	16.4517328	10.78091307	2078.87386007
2018-11-20T22:45:02.050Z	17.05923397	10.78091307	2109.37428039
2018-11-20T23:00:02.045Z	17.33662753	10.78091307	2122.87004105
2018-11-20T23:15:02.090Z	17.49860466	10.78091307	2131.3650448
2018-11-20T23:30:02.156Z	17.39416608	10.78091307	2125.63667164
2018-11-20T23:45:02.127Z	17.08420804	10.78091307	2110.60014547
2018-11-21T00:00:02.205Z	16.89763017	10.78091307	2101.38928794
2018-11-21T00:15:02.198Z	17.05305453	10.78091307	2109.07062511
2018-11-21T00:30:02.230Z	17.05946289	10.78091307	2109.38552689
2018-11-21T00:45:02.261Z	17.89348743	10.78091307	2148.32788782
2018-11-21T01:00:02.306Z	17.72176665	10.78091307	2141.17929019
2018-11-21T01:15:02.297Z	17.94452488	10.78091307	2151.54853311
2018-11-21T01:30:02.669Z	18.1556611	10.78091307	2161.23174168
2018-11-21T01:45:01.317Z	17.73351964	10.78091307	2141.73036748
2018-11-21T02:00:01.349Z	17.70259858	10.78091307	2140.65132809
2018-11-21T02:15:01.374Z	16.86598219	10.78091307	2099.81478266
2018-11-21T02:30:01.423Z	16.42589166	10.78091307	2076.72548257
2018-11-21T02:45:01.504Z	16.70880396	10.78091307	2091.94225579
2018-11-21T03:00:01.463Z	16.51280399	10.78091307	2082.00037828
2018-11-21T03:15:01.480Z	16.59959933	10.78091307	2087.98060172
2018-11-21T03:30:01.496Z	16.8224697	10.78091307	2097.6442143
2018-11-21T03:45:01.529Z	15.9434892	10.78091307	2052.30970378
2018-11-21T04:00:01.518Z	15.97626882	10.78091307	2054.05290592
2018-11-21T04:15:01.557Z	15.9902506	10.78091307	2054.79517285
2018-11-21T04:30:01.565Z	16.26709264	10.78091307	2068.57230138
2018-11-21T04:45:02.632Z	16.13321823	10.78091307	2062.357686
2018-11-21T05:00:01.596Z	15.96695561	10.78091307	2053.55806187
2018-11-21T05:15:01.675Z	16.17096674	10.78091307	2064.32093016
2018-11-21T05:30:01.717Z	16.21959219	10.78091307	2066.86263277
2018-11-21T05:45:01.742Z	16.58122333	10.78091307	2085.48678311
2018-11-21T06:00:01.700Z	17.41457057	10.78091307	2126.6151143
2018-11-21T06:15:01.724Z	17.011699	10.78091307	2107.03501474
2018-11-21T06:30:01.770Z	16.8926522	10.78091307	2101.14186594
2018-11-21T06:45:01.858Z	16.5092818	10.78091307	2081.82043498
2018-11-21T07:00:01.800Z	16.56375543	10.78091307	2084.48236584
2018-11-21T07:15:01.803Z	16.61068093	10.78091307	2086.98256273
2018-11-21T07:30:01.832Z	16.48531063	10.78091307	2080.5945693
2018-11-21T07:45:01.902Z	16.5622087	10.78091307	2084.51958698
2018-11-21T08:00:01.869Z	16.22994193	10.78091307	2067.40246293
2018-11-21T08:15:01.955Z	16.30065765	10.78091307	2071.52017548
2018-11-21T08:30:01.941Z	16.31258751	10.78091307	2071.69861377
2018-11-21T08:45:01.953Z	15.70189932	10.78091307	2039.33127988
2018-11-21T09:00:01.989Z	15.50212618	10.78091307	2028.4222064
2018-11-21T09:15:02.011Z	15.81755039	10.78091307	2045.57306909
2018-11-21T09:30:02.411Z	15.32948647	10.78091307	2018.86270913
2018-11-21T09:45:02.013Z	15.44541653	10.78091307	2025.29568791
2018-11-21T10:00:02.086Z	15.49047903	10.78091307	2027.78115742
2018-11-21T10:15:02.038Z	15.70189932	10.78091307	2039.33127988
2018-11-21T10:30:02.150Z	15.94708053	10.78091307	2052.50089377
2018-11-21T10:45:02.116Z	15.69775016	10.78091307	2039.10635028
2018-11-21T11:00:02.232Z	15.71352376	10.78091307	2039.96108157
2018-11-21T11:15:02.136Z	15.48761988	10.78091307	2027.62370707
2018-11-21T11:30:02.171Z	15.71975527	10.78091307	2040.298476
2018-11-21T11:45:02.243Z	15.86240939	10.78091307	2047.97981393
2018-11-21T12:00:02.276Z	16.15250845	10.78091307	2063.35373442
2018-11-21T12:15:02.254Z	15.64950645	10.78091307	2036.48592384
2018-11-21T12:30:02.538Z	15.47598536	10.78091307	2026.98265851
2018-11-21T12:45:02.317Z	15.44134597	10.78091307	2025.07075858
2018-11-21T13:00:02.386Z	15.51623894	10.78091307	2029.19821233
2018-11-21T13:15:02.336Z	15.52463184	10.78091307	2028.9296598
2018-11-21T13:30:01.381Z	15.71809325	10.78091307	2040.06704101
2018-11-21T13:45:01.365Z	15.5570245	10.78091307	2031.43625921
2018-11-21T14:00:01.406Z	16.04440632	10.78091307	2057.66302173
2018-11-21T14:15:01.486Z	16.00233734	10.78091307	2055.43622197
2018-11-21T14:30:01.486Z	16.14393166	10.78091307	2062.90387538
2018-11-21T14:45:01.668Z	16.2593086	10.78091307	2068.78564834
2018-11-21T15:00:01.512Z	16.16409564	10.78091307	2065.77142279
2018-11-21T15:15:01.709Z	16.09728239	10.78091307	2060.45214592
2018-11-21T15:30:01.597Z	15.7647073	10.78091307	2042.12865423
2018-11-21T15:45:01.529Z	15.44989558	10.78091307	2025.51221033
2018-11-21T16:00:01.558Z	15.63876318	10.78091307	2035.90110706
2018-11-21T16:15:01.742Z	15.72682113	10.78091307	2040.68085619
2018-11-21T16:30:01.646Z	15.74887377	10.78091307	2041.87298203
2018-11-21T16:45:01.681Z	15.81211035	10.78091307	2045.28066166
2018-11-21T17:00:01.646Z	15.90215169	10.78091307	2050.10539587
2018-11-21T17:15:01.663Z	16.18815959	10.78091307	2065.22064785
2018-11-21T17:30:01.709Z	16.20688131	10.78091307	2066.19909133
2018-11-21T17:45:01.727Z	16.00764192	10.78091307	2055.71738301
2018-11-21T18:00:01.815Z	15.97986881	10.78091307	2054.24409526
